baseline-timestamp,baseline-diameter_eye_0,baseline-diameter_eye_1,baseline-diameter_binocular,baseline-HR,baseline-RR,Nback_HL-timestamp,Nback_HL-diameter_eye_0,Nback_HL-diameter_eye_1,Nback_HL-diameter_binocular,Nback_HL-HR,Nback_HL-RR,Nback_LL-timestamp,Nback_LL-diameter_eye_0,Nback_LL-diameter_eye_1,Nback_LL-diameter_binocular,Nback_LL-HR,Nback_LL-RR,Nback_ML-timestamp,Nback_ML-diameter_eye_0,Nback_ML-diameter_eye_1,Nback_ML-diameter_binocular,Nback_ML-HR,Nback_ML-RR,VIS_HL-timestamp,VIS_HL-diameter_eye_0,VIS_HL-diameter_eye_1,VIS_HL-diameter_binocular,VIS_HL-HR,VIS_HL-RR,VIS_LL-timestamp,VIS_LL-diameter_eye_0,VIS_LL-diameter_eye_1,VIS_LL-diameter_binocular,VIS_LL-HR,VIS_LL-RR,VIS_ML-timestamp,VIS_ML-diameter_eye_0,VIS_ML-diameter_eye_1,VIS_ML-diameter_binocular,VIS_ML-HR,VIS_ML-RR
0.0,,3.903265724948653,3.903265724948653,57.0,1151.0,0.0,7.046120473908484,2.9163833852650587,4.981251929586771,67.0,899.0,0.0,,2.7046976941809686,2.7046976941809686,63.0,1001.0,0.0,,1.7951149038474841e-06,1.7951149038474841e-06,65.0,1034.0,0.0,3.0144843807207136,,3.0144843807207136,62.0,1035.0,0.0,3.628626680845711,,3.628626680845711,65.0,920.0,0.0,2.83493882629352,2.609053614571874,2.721996220432697,67.0,932.0
0.01,,3.9023670330907416,3.9023670330907416,,,0.01,6.876979502943161,2.9047972737030654,4.890888388323114,,,0.01,,2.72207986192067,2.72207986192067,,,0.01,,1.804209543700224e-06,1.804209543700224e-06,,,0.01,2.984620314886665,1.7783272193080666,2.381473767097366,,,0.02,3.502934200098802,2.7756365632668847,3.1392853816828437,,,0.01,2.851581927971165,,2.851581927971165,,
0.02,,3.9005490245203176,3.9005490245203176,,,0.02,6.949051652708943,2.913957160826997,4.93150440676797,,,0.02,5.437136774961399,2.7072789382293747,4.072207856595387,,,0.02,,1.7773199112561055e-06,1.7773199112561055e-06,,,0.02,3.0591733690536684,1.7972892105312814,2.4282312897924747,,,0.03,3.5529484445091004,,3.5529484445091004,,,0.02,2.804495527298062,2.6370486924040915,2.720772109851077,,
0.02,,3.9063045357555186,3.9063045357555186,,,0.02,6.930567558284657,2.913957160826997,4.922262359555827,,,0.03,,2.6967818212622117,2.6967818212622117,,,0.02,,1.7998298972815949e-06,1.7998298972815949e-06,,,0.02,3.0591733690536684,1.7832414233407958,2.4212073961972322,,,0.04,3.466376384898346,2.7658707326078957,3.116123558753121,,,0.03,2.8677548128219126,2.6474167101945403,2.7575857615082264,,
0.03,,3.922694349622468,3.922694349622468,,,0.03,6.9928298977043974,2.9510316474758667,4.971930772590132,,,0.04,,2.6450283884882744,2.6450283884882744,,,0.03,,1.787147949642123e-06,1.787147949642123e-06,,,0.03,3.0055506848284166,,3.0055506848284166,,,0.04,3.4738376789060568,2.7658707326078957,3.119854205756976,,,0.04,2.809158752511388,,2.809158752511388,,
0.04,,3.9130650566467287,3.9130650566467287,,,0.04,7.0773336951767885,2.984631289821181,5.0309824924989845,,,0.04,,2.5855183644114943,2.5855183644114943,,,0.04,,1.755173600055728e-06,1.755173600055728e-06,,,0.04,3.028073305285885,1.8014432086393648,2.414758256962625,,,0.05,3.4716900674318927,,3.4716900674318927,,,0.04,2.8696692508409543,,2.8696692508409543,,
0.05,,3.938210917407803,3.938210917407803,,,0.04,7.0773336951767885,2.9132210178476146,4.995277356512202,,,0.05,,2.654273022353888,2.654273022353888,,,0.06,,1.77805601157391e-06,1.77805601157391e-06,,,0.04,2.9803814656498315,1.8014432086393648,2.390912337144598,,,0.06,3.4018752096248983,2.774980474899132,3.088427842262015,,,0.05,2.855778244302281,2.569113390308184,2.7124458173052326,,
0.06,,3.8470983811319046,3.8470983811319046,,,0.05,6.908473090975972,2.956533556579475,4.932503323777723,,,0.06,5.536132515751673,2.6550347722929586,4.095583644022316,,,0.07,,1.7803166462990055e-06,1.7803166462990055e-06,,,0.05,3.0347883043146413,1.796354485523616,2.4155713949191284,,,0.06,3.4018752096248983,2.834375555181861,3.1181253824033797,,,0.06,2.8298432062549947,2.6451022077192845,2.7374727069871394,,
0.06,,3.941965715960056,3.941965715960056,,,0.06,7.081536819468631,2.9651357132123595,5.023336266340495,,,0.07,,2.644450541536872,2.644450541536872,,,0.08,,1.8059047051148307e-06,1.8059047051148307e-06,,,0.06,3.0865700740094035,,3.0865700740094035,,,0.07,3.4419145973941334,,3.4419145973941334,,,0.06,2.8298432062549947,2.637687268160216,2.7337652372076056,,
0.07,,3.9109406204674593,3.9109406204674593,,,0.06,7.0055495431730215,2.9651357132123595,4.98534262819269,,,0.08,,2.646267223119605,2.646267223119605,,,0.08,,1.7732158319770112e-06,1.7732158319770112e-06,,,0.07,3.0208234602381543,1.7920291163302773,2.406426288284216,,,0.08,3.4090812062885534,,3.4090812062885534,,,0.07,2.7715293775327803,2.6220003794554176,2.6967648784940987,,
